year,event_rank,event_text,source_url,source_element_index
1895,11,"On June 3, 1895, Roger Connor hit his one-hundred twenty-second career home run. This historic shot tied Harry Stovey for the most home runs in Major League Baseball history! Twenty days later, June 23, 1895, Connor hit home run #123 and became the all-time home run king!",https://www.baseball-almanac.com/yearly/yr1895n.shtml,73
1896,1,"On July 13, 1896, Ed Delahanty of the Philadelphia Phillies hit four inside-the-park homers (collecting seven RBIs) off Bill Terry of the Chicago Colts. Despite the standout performance, Delahanty and his teammates still fell 9-8.",https://www.baseball-almanac.com/yearly/yr1896n.shtml,60
1896,2,"The Baltimore Orioles (90-29), winners of three consecutive pennants, met the second-place Cleveland Spiders (80-48) for a classic rematch of the Temple Cup. The defending champion Spiders were swept; 7-1, 7-2, 6-2, and 5-0.",https://www.baseball-almanac.com/yearly/yr1896n.shtml,61
1896,3,"In December, Princeton University's Professor Charles E. Hinton introduced baseball's first automated pitching machine.",https://www.baseball-almanac.com/yearly/yr1896n.shtml,62
1896,4,"""A lefthanded line-drive hitter and clever bunter, his (Jesse Burkett) ability to foul pitches off was one of the reasons for the introduction of the rule making foul balls strikes."" - Jack Kavanagh",https://www.baseball-almanac.com/yearly/yr1896n.shtml,63
1896,5,← 1895 | 1896 Hitting Statistics League Leaders | 1897 →,https://www.baseball-almanac.com/yearly/yr1896n.shtml,64
1896,6,← 1895 | 1896 Pitching Statistics League Leaders | 1897 →,https://www.baseball-almanac.com/yearly/yr1896n.shtml,65
1896,7,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1896n.shtml,67
1896,8,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1896n.shtml,68
1896,9,"On April 7, 1896, Pete Cassidy, first baseman / shortstop for the Louisville Colonels, became the first active Major League Baseball player to get an X-ray (broken wrist).",https://www.baseball-almanac.com/yearly/yr1896n.shtml,69
1896,10,"The Philadelphia Phillies set an Opening Day attendance record for the 19th Century on April 16, 1896, when 24,500 fans watched them lose 3-to-7 to the Boston Beaneaters, in the Baker Bowl.",https://www.baseball-almanac.com/yearly/yr1896n.shtml,70
1896,11,Jesse Burkett finished the 1896 season leading the National League with a .410 batting average. Did you know that he was actually the second player in baseball history to hit .400 in back-to-back seasons? Do you remember who preceded him? [Answer],https://www.baseball-almanac.com/yearly/yr1896n.shtml,71
1897,1,The Chicago Colts set a Major League record after scoring thirty-six runs on thirty hits against the Louisville Colonels on June 29th.,https://www.baseball-almanac.com/yearly/yr1897n.shtml,60
1897,2,"On June 18th, Chicago's player / manager Cap Anson became the first Major League player to reach three-thousand hits after tapping a single off the Baltimore Orioles for a 6-3 win.",https://www.baseball-almanac.com/yearly/yr1897n.shtml,61
1897,3,Philadelphia's rookie sensation Napoleon Lajoie hit .361 and led the National League with nine home runs and a .569 slugging average.,https://www.baseball-almanac.com/yearly/yr1897n.shtml,62
1897,4,"""A hard-driving disciplinarian, (Cap) Anson was perhaps the most influential player in the nineteenth century."" - Palmer, Pete. Author. Total Baseball. The 400 Greatest Ballplayers. Page 158.",https://www.baseball-almanac.com/yearly/yr1897n.shtml,63
1897,5,← 1896 | 1897 Hitting Statistics League Leaders | 1898 →,https://www.baseball-almanac.com/yearly/yr1897n.shtml,64
1897,6,← 1896 | 1897 Pitching Statistics League Leaders | 1898 →,https://www.baseball-almanac.com/yearly/yr1897n.shtml,65
1897,7,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1897n.shtml,67
1897,8,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1897n.shtml,68
1897,9,"On April 22, 1897, Wee Willie Keeler hit a single and double. This was game one of a forty-four consecutive game batting streak that went unmatched until Joe DiMaggio broke the record during the ""streak"" in 1941.",https://www.baseball-almanac.com/yearly/yr1897n.shtml,69
1897,10,"In a highly unusual feat, catcher Duke Farrell of Washington threw out eight Orioles who attempted to steal second, but the Senators lost 6-3.",https://www.baseball-almanac.com/yearly/yr1897n.shtml,70
1897,11,"Cap Anson hit what some baseball historians consider hit number three-thousand on July 18, 1897. However, in that total were sixty base on balls which during the 1887 season were counted as hits. Those hits were counted at first, removed by Major League Baseball, then restored again in 2001.",https://www.baseball-almanac.com/yearly/yr1897n.shtml,71
1898,1,"On April 16th, a crowd of approximately one-hundred people (out of four-thousand) was injured after a fire broke out (from a lit cigar) in the grandstands of Sportsman Park in St. Louis during a game between the Browns and visiting Chicago Orphans. In a half-hours time, the entire bleachers and left field stands were completely destroyed.",https://www.baseball-almanac.com/yearly/yr1898n.shtml,60
1898,2,"Pitcher Bill Duggleby of the Philadelphia Phillies, came to bat for the first time in his Major League career and hit a grand slam off the New York Giants &mdashl; the first instance (since duplicated) in baseball history. [Grand Slam Records]",https://www.baseball-almanac.com/yearly/yr1898n.shtml,61
1898,3,"On July 5th, Lizzie Arlington became the first woman ever to play in an organized baseball game after pitching a single inning for Reading in the Eastern League. Atlantic League president Ed Barrow later hired her to participate in exhibition games around the country.",https://www.baseball-almanac.com/yearly/yr1898n.shtml,62
1898,4,← 1897 | 1898 Hitting Statistics League Leaders | 1899 →,https://www.baseball-almanac.com/yearly/yr1898n.shtml,64
1898,5,← 1897 | 1898 Pitching Statistics League Leaders | 1899 →,https://www.baseball-almanac.com/yearly/yr1898n.shtml,65
1898,6,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1898n.shtml,67
1898,7,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1898n.shtml,68
1898,8,"On April 22, 1898, Ted Breitenstein tossed a no-hit game versus Pittsburgh. In Baltimore, rookie Jay Hughes, in only his second start, no-hit Boston and this became the first time in Major League history when two no-hitters were tossed on the same date!",https://www.baseball-almanac.com/yearly/yr1898n.shtml,69
1898,9,Did you know that this was the first season in Major League history where official scorers were asked to award hits rather than errors on hard hit balls judged difficult to handle? Do you think this should have been done? Is it done correctly today? Share your thoughts with fans on our message board.,https://www.baseball-almanac.com/yearly/yr1898n.shtml,70
1899,1,"The largest baseball crowd ever to date (24,000+) turned out at the West Side Grounds to watch the Chicago Orphans play the visiting St. Louis Perfectos. The home team Orphans won the contest 4-0 despite a poor showing by pitcher James Callahan who allowed twelve hits.",https://www.baseball-almanac.com/yearly/yr1899n.shtml,60
1899,2,A motion to change the name of the Western League to the American League was successfully introduced by W.F.C. Golt of Indianapolis.,https://www.baseball-almanac.com/yearly/yr1899n.shtml,61
1899,3,← 1898 | 1899 Hitting Statistics League Leaders | 1900 →,https://www.baseball-almanac.com/yearly/yr1899n.shtml,64
1899,4,← 1898 | 1899 Pitching Statistics League Leaders | 1900 →,https://www.baseball-almanac.com/yearly/yr1899n.shtml,65
1899,5,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1899n.shtml,67
1899,6,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1899n.shtml,68
1899,7,"On April 30, 1899, the largest crowd to date watched the Chicago Orphans defeat the St. Louis Perfectos 4-0. The fans, 27,849 in total, watched from the outfield and balls hit into the crowd were counted as singles.",https://www.baseball-almanac.com/yearly/yr1899n.shtml,69
1899,8,"Jay Parker, on September 27, 1899, made his Major League debut on the mound and issued two base on balls. He was relieved and both runs scored. Parker never appeared in another Major League game and his lifetime earned run average is infinite!",https://www.baseball-almanac.com/yearly/yr1899n.shtml,70
1899,9,"Did you know that when the Cleveland Spiders lost both games of a doubleheader against the Philadelphia Phillies on September 12, 1899, giving them a 19-114 record, they broke the all-time record for most losses during a single season by a baseball team?",https://www.baseball-almanac.com/yearly/yr1899n.shtml,71
1900,1,Chicago Colts (Cubs) Jimmy Ryan led a 4-3 victory over Cincinnati Reds pitcher Noodles Hahn with the twentieth leadoff home run of his career.,https://www.baseball-almanac.com/yearly/yr1900n.shtml,60
1900,2,"The National League rules committee stated that: a single umpire (not two) would work each game, a balk rule would allow only a base runner to advance (not the batter), and a change in the shape of home plate to five-sided would be instituted to eliminate the corners of the old one-foot by one-foot plate.",https://www.baseball-almanac.com/yearly/yr1900n.shtml,61
1900,3,"On July 7th, Boston Braves hurler Kid Nichols tossed his three-hundredth career victory, beating the Chicago Colts (Cubs) 11-4. The pinnacle victory came two months before his thirty-first birthday, making him the youngest pitcher ever to reach win number three-hundred.",https://www.baseball-almanac.com/yearly/yr1900n.shtml,62
1900,4,"""I owe everything I have to them (fans) when I'm out there on the mound. But I owe the fans nothing and they owe me nothing when I am not pitching."" - Christy Mathewson",https://www.baseball-almanac.com/yearly/yr1900n.shtml,63
1900,5,← 1899 | 1900 Hitting Statistics League Leaders | 1901 →,https://www.baseball-almanac.com/yearly/yr1900n.shtml,64
1900,6,← 1899 | 1900 Pitching Statistics League Leaders | 1901 →,https://www.baseball-almanac.com/yearly/yr1900n.shtml,65
1900,7,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1900n.shtml,67
1900,8,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1900n.shtml,68
1900,9,"On July 17, 1900, Christy Mathewson made his Major League debut in relief of Ed Doheny. Did you know that ""Big Six"" gave up six runs, hit three batters, walked two and received the loss during his first game?",https://www.baseball-almanac.com/yearly/yr1900n.shtml,70
1900,10,"The National League referred to the American League as an ""outlaw league"" on November 14, 1900, and refused to acknowledge it as an equal.",https://www.baseball-almanac.com/yearly/yr1900n.shtml,71
1901,1,"On April 28th, Cleveland Indians rookie pitcher Charles Baker surrendered an American League record twenty-three singles in a 13-1 loss to the Chicago White Sox.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,60
1901,2,"In May, White Stockings Herm McFarland and Dummy Hoy set one of the first American League records (most homeruns in a game) with two grand slams during Chicago's 19-9 win over the Detroit Tigers. Detroit also set a Major League mark of their own with twelve errors (ten by the infield) that was amazingly matched by the White Sox in 1903 — against the Tigers.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,61
1901,3,"With two outs in the ninth, Milwaukee Brewers pitcher Bill Reidy set a Major League record after surrendering ten consecutive hits for a 13-2 loss to the Boston Somersets on June 2nd.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,62
1901,4,Cincinnati Reds ace Noodles Hahn struck out sixteen Boston Brave batters on May 22nd for a 4-3 victory and a record that would stand until Jim Maloney matched it in 1963.,https://www.baseball-almanac.com/yearly/yr1901a.shtml,63
1901,5,"On June 20th, Honus Wagner became the first twentieth century player to steal home twice in a single game, as the Pittsburgh Pirates blanked the New York Giants, 7-0.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,64
1901,6,"The Brooklyn Dodgers tied their highest score of the previous century (May 20, 1896) after beating the Cincinnati Reds 25-6 in a September 23rd outing at League Park II.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,65
1901,7,"The National League Rules Committee decreed that all foul balls are to count as strikes, except after two, catchers must play within ten feet of the batter, a ball will be called if the pitcher does not throw to a ready and waiting batter within twenty seconds, and that the umpire will remove all players using indecent language.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,67
1901,8,"At the December league meeting, the Milwaukee Brewers franchise was officially dropped from the American League and replaced by the St. Louis Browns.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,68
1901,9,1901 Hitting Statistics League Leaderboards | 1902 →,https://www.baseball-almanac.com/yearly/yr1901a.shtml,70
1901,10,1901 Pitching Statistics League Leaderboards | 1902 →,https://www.baseball-almanac.com/yearly/yr1901a.shtml,71
1901,11,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1901a.shtml,73
1901,12,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1901a.shtml,74
1901,13,"On April 24, 1901, the Chicago White Sox beat the Cleveland Blues 8-2 in the first ever ""official"" American League game.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,75
1901,14,"The Washington Senators played their home opener in Washington D.C. on April 29, 1901. One of the prominent fans who attended was Admiral George Dewey who observed the Senators defeat the Orioles 5-2.",https://www.baseball-almanac.com/yearly/yr1901a.shtml,76
1901,15,"Did you know that Nap Lajoie of Philadelphia was intentionally walked with the bases loaded on May 23, 1901? This was the first such instance in American League history, and an amazing record that few players in Major League history have ever even tied!",https://www.baseball-almanac.com/yearly/yr1901a.shtml,77
1901,9,"""President McKinley disappointed the 7,000 spectators at the opening game by failing to appear, and the Senators disappointed them by losing to Brooklyn 5 to 4."" - Star",https://www.baseball-almanac.com/yearly/yr1901n.shtml,69
1901,10,← 1900 | 1901 Hitting Statistics League Leaders | 1902 →,https://www.baseball-almanac.com/yearly/yr1901n.shtml,70
1901,11,← 1900 | 1901 Pitching Statistics League Leaders | 1902 →,https://www.baseball-almanac.com/yearly/yr1901n.shtml,71
1901,14,"Did you know that on June 20, 1901, Honus Wagner of Pittsburgh stole home plate twice against the New York Giants?",https://www.baseball-almanac.com/yearly/yr1901n.shtml,75
1901,15,"On July 15, 1901, Christy Mathewson pitched a no-hitter against the Cincinnati Reds. ""Big Six"" was in the second year of his career and would go on to win twenty-games and lead the league with eight shutouts.",https://www.baseball-almanac.com/yearly/yr1901n.shtml,76
1901,16,"Do you know why the National League cancelled every game on the nineteenth of September? It was a result of the death of President McKinley, who was shot five days earlier during an assassination.",https://www.baseball-almanac.com/yearly/yr1901n.shtml,77
1902,1,"The Milwaukee Brewers moved before the 1902 season started and became the St. Louis Browns, where they would play until 1953. In 1954, the franchise moved and became the modern-day Baltimore Orioles.",https://www.baseball-almanac.com/yearly/yr1902n.shtml,60
1902,2,"In July, the Baltimore Orioles were forced to forfeit a game to St. Louis and their team to the league. With only five players available for the line-up, the American League's front office borrowed back-up players from several other teams and maintained the franchise for the remainder of the season.",https://www.baseball-almanac.com/yearly/yr1902n.shtml,61
1902,3,"The Cincinnati Reds thrashed the Philadelphia Phillies 24-2 on May 13, 1902, with each of the nine starters collecting 2-or-more hits.",https://www.baseball-almanac.com/yearly/yr1902n.shtml,62
1902,4,"Pittsburgh Pirate Honus Wagner committed ""Grand Larceny"" after stealing second, third and home during the second game of an August 13th doubleheader against the Boston Braves. Amazingly, it wasn't the first time as Wagner had originally accomplished the feat in 1899.",https://www.baseball-almanac.com/yearly/yr1902n.shtml,63
1902,5,"The 1902 Major League Baseball season began on April 17, and concluded on October 5. Each team played the other seven teams in their league twenty times, for a 140-game season.",https://www.baseball-almanac.com/yearly/yr1902n.shtml,64
1902,6,"""I won't play for a penny less than fifteen hundred dollars."" - Honus Wagner",https://www.baseball-almanac.com/yearly/yr1902n.shtml,66
1902,7,← 1901 | 1902 Hitting Statistics League Leaders | 1903 →,https://www.baseball-almanac.com/yearly/yr1902n.shtml,67
1902,8,← 1901 | 1902 Pitching Statistics League Leaders | 1903 →,https://www.baseball-almanac.com/yearly/yr1902n.shtml,68
1902,9,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1902n.shtml,70
1902,10,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1902n.shtml,71
1902,11,"On May 16, 1902, two deaf mutes played on opposing teams for the first time in history when Dummy Hoy led off for Cincinnati against Dummy Taylor of New York.",https://www.baseball-almanac.com/yearly/yr1902n.shtml,72
1902,12,"Mike O'Neill, St. Louis Cardinals, hit the first pinch hit grand slam in Major League Baseball history on June 3, 1902. Even more amazing, it was an inside the park slam!",https://www.baseball-almanac.com/yearly/yr1902n.shtml,73
1902,13,"The legendary Tinkers-to-Evers-to-Chance trio appeared in a Cubs game for the first time on September 1, 1902. However, during the game Frank Chance played third and Bobby Lowe was at second.",https://www.baseball-almanac.com/yearly/yr1902n.shtml,74
1902,10,"Future hall of famer Addie Joss of Cleveland made his Major League debut on April 26, 1902, and one-hit the St. Louis Browns.",https://www.baseball-almanac.com/yearly/yr1902a.shtml,72
1902,11,"Did you know that the Cleveland Blues, on June 30, 1902, became the first American League team to hit three consecutive home runs during the same inning? The history-making players were Nap Lajoie, Piano Legs Hickman and Bill Bradley.",https://www.baseball-almanac.com/yearly/yr1902a.shtml,73
1902,12,"On August 25, 1902, the American League announced a team would play in New York City by 1903. On December 9, 1902, property was purchased and the New York Highlanders were nearly on the field.",https://www.baseball-almanac.com/yearly/yr1902a.shtml,74
1903,1,"On May 6th, the Chicago White Sox committed twelve errors, and the Detroit Tigers answered back with six of their own. The combined ""18-E debacle"" set a modern Major League record for the most errors (by two teams) in a single game.",https://www.baseball-almanac.com/yearly/yr1903a.shtml,60
1903,2,"Buck Freeman of the Boston Americans (Red Sox), completed a cycle on June 21, 1903, the first in franchise history. Just over a month later, Pat Dougherty, also with Boston, hit for the cycle as well. The Boston Americans became the second American League team with two cycles in the same season, joining the Philadelphia Athletics (1901).",https://www.baseball-almanac.com/yearly/yr1903a.shtml,61
1903,3,"At a post-season American League meeting, Ban Johnson was unanimously re-elected president and given a raise of $10,000. The American League owners also voted to allow base-running coaches at first and third at all times and to institute the ""foul strike"" rule in which a foul would be counted as a strike unless there are already two on the batter.",https://www.baseball-almanac.com/yearly/yr1903a.shtml,62
1903,4,"Fred Clarke hit for the cycle on May 7, 1903. Two years earlier, on July 23, 1901, Clarke had completed his first career cycle making him the first twentieth century player to hit for the cycle twice, and the first Pirate to ever complete two cycles in Pittsburgh.",https://www.baseball-almanac.com/yearly/yr1903a.shtml,63
1903,5,"Cincinnati Reds shortstop Tommy Corcoran set a Major League record after totaling fourteen assists in a 4-2 regulation win over the St. Louis Cardinals, on August 7, 1903. Lave Cross, of the Philadelphia Athletics, had originally racked up fifteen assists during a twelve-inning game in 1897.",https://www.baseball-almanac.com/yearly/yr1903a.shtml,64
1903,6,The National League-leading Pittsburgh Pirates set an uncharacteristic National League mark for inept fielding after making six errors in the first inning of a 13-7 New York Giants victory on August 20th.,https://www.baseball-almanac.com/yearly/yr1903a.shtml,65
1903,7,"In Cincinnati, peace talks between both rival leagues continued as the Nationals proposed a consolidated twelve team league, which the Americans promptly rejected. Eventually an agreement was reached to coexist peacefully with the American League promising to stay out of Pittsburgh.",https://www.baseball-almanac.com/yearly/yr1903a.shtml,66
1903,8,Baseball rules committee chairman Tom Loftus announced that the pitcher's box would not be more than fifteen inches higher than the baselines or home plate.,https://www.baseball-almanac.com/yearly/yr1903a.shtml,67
1903,9,← 1902 | 1903 Hitting Statistics League Leaders | 1904 →,https://www.baseball-almanac.com/yearly/yr1903a.shtml,70
1903,10,← 1902 | 1903 Pitching Statistics League Leaders | 1904 →,https://www.baseball-almanac.com/yearly/yr1903a.shtml,71
1903,11,Team Standings | World Series,https://www.baseball-almanac.com/yearly/yr1903a.shtml,72
1903,12,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1903a.shtml,73
1903,13,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1903a.shtml,74
1903,14,"On April 30, 1903, the New York Highlanders played their first game at Hilltop Park and defeated the Washington Senators 6-2. In 1913, the franchise would rename itself the New York Yankees.",https://www.baseball-almanac.com/yearly/yr1903a.shtml,75
1903,15,"Jesse Stovall, on September 3, 1903, defeated the Detroit Tigers 1-0 in an eleven inning contest — the longest complete game shutout ever thrown by a rookie pitcher (at that point) in baseball history.",https://www.baseball-almanac.com/yearly/yr1903a.shtml,76
1903,16,"The Boston Americans captured the American League pennant when they beat Cleveland 14-3, on September 17, 1903. They advanced to the first modern World Series in history — do you remember who won?",https://www.baseball-almanac.com/yearly/yr1903a.shtml,77
1903,9,"""His misfortune was that he (Sam Crawford) played big league ball fifty years too early. If he were swinging today, he'd be up with the all-time home run leaders."" - Ty Cobb",https://www.baseball-almanac.com/yearly/yr1903n.shtml,69
1903,15,"On June 25, 1903, Wiley Piatt of the Boston Beaneaters pitched two complete games in one day versus Pittsburgh, and lost them both.",https://www.baseball-almanac.com/yearly/yr1903n.shtml,75
1903,16,"Jack Doscher made his Major League debut with the Chicago Cubs, on July 2, 1903. This debut made him and his father, Herm Doscher of Troy, the first father-son combination in Major League Baseball history!",https://www.baseball-almanac.com/yearly/yr1903n.shtml,76
1903,17,"Joe McGinnity accomplished the nearly impossible when he pitched and won both ends of a doubleheader on the same day. This, in and of itself, is remarkably rare; however, McGinnity repeated this fabulous feat three more times during the 1903 season.",https://www.baseball-almanac.com/yearly/yr1903n.shtml,77
1904,1,"The first section of the New York Subway system was opened between City Hall and 145th Street. The original system consisted of twenty-eight stations along 9.1 miles of track with the IRT extending to the Bronx in 1905, Brooklyn in 1908 and Queens in 1915. Since then, it has expanded to over two-hundred thirty miles of routes and over four-hundred miles of single track.",https://www.baseball-almanac.com/yearly/yr1904a.shtml,59
1904,2,"On May 11th, Sam Crawford of the Detroit Tigers broke Boston Red Sox ace Cy Young's consecutive streak of no-hit innings at 24 1/3 (seventy-six batters without a hit) after managing a one-out single en route to a 1-0 victory.",https://www.baseball-almanac.com/yearly/yr1904a.shtml,60
1904,3,"The St. Louis Browns and Detroit Tigers played a doubleheader on September 8, 1904, another doubleheader on the 9th, a third doubleheader on the 10th, then a fourth doubleheader on the 11th! After ""only"" one game on the 12th, they faced off for a final doubleheader on the 13th, setting a record for the most games played consecutively (11) between two teams in Major League Baseball history.",https://www.baseball-almanac.com/yearly/yr1904a.shtml,61
1904,4,"After pitching a record setting season with forty-one wins and four-hundred fifty-four innings in fifty-five games, New York Highlanders (Yankees) ace Jack Chesbro ""crashed and burned"" after losing control of a spitball that sailed over his catcher's head and allowed the American League pennant losing run to score from third.",https://www.baseball-almanac.com/yearly/yr1904a.shtml,62
1904,5,New York Giants' Dan McGann stole five bases on May 27th during 3-1 win over the cross-town rival Brooklyn Dodgers. The record stood for seventy years until Davey Lopes of the Los Angeles Dodgers matched the mark in August of 1974. Atlanta Braves outfielder Otis Nixon eventually topped the feat with six steals (against the Montreal Expos) in 1991.,https://www.baseball-almanac.com/yearly/yr1904a.shtml,63
1904,6,"Frank Chance of the Chicago Cubs set a painful Major League mark after being hit four times in one day during a May 30th double header against the Cincinnati Reds. In the first game, ""The Peerless Leader "" actually lost consciousness after being tagged in the head by Jack Harper.",https://www.baseball-almanac.com/yearly/yr1904a.shtml,64
1904,7,"In October, St. Louis Cardinals pitcher Jack Taylor tossed his thirty-ninth consecutive complete game of the season setting a modern Major League record. The streak started on April 15th and finished with an astounding three-hundred fifty-two innings pitched.",https://www.baseball-almanac.com/yearly/yr1904a.shtml,65
1904,8,"""Jack Chesbro was an early spitball ace whose 1904 performance with the New York Highlanders still rates five stars. He started 51 games, completed 48 and was the victor in 41 while hurling 454 innings."" - National Baseball Hall of Fame",https://www.baseball-almanac.com/yearly/yr1904a.shtml,67
1904,9,← 1903 | 1904 Hitting Statistics League Leaders | 1905 →,https://www.baseball-almanac.com/yearly/yr1904a.shtml,68
1904,10,← 1903 | 1904 Pitching Statistics League Leaders | 1905 →,https://www.baseball-almanac.com/yearly/yr1904a.shtml,69
1904,11,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1904a.shtml,71
1904,12,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1904a.shtml,72
1904,13,"On July 14, 1904, Jack Chesbro of the New York Highlanders won his fourteenth consecutive game (a record at the time). By August 10th, he pitched thirty consecutive complete games and he finished the season with forty-eight complete games in fifty-one starts.",https://www.baseball-almanac.com/yearly/yr1904a.shtml,73
1904,14,"Wee Willie Keeler, on August 24, 1904, hit two home runs against the St. Louis Browns and both never left the park. [Inside The Park Home Run Records]",https://www.baseball-almanac.com/yearly/yr1904a.shtml,74
1904,15,"Did you know that George Stovall, on October 7, 1904, hit a home run off his brother, right-handed pitcher Jesse Stovall? That particular feat was a Major League Baseball history and an event that remained unduplicated until the Ferrells in 1933 then the Niekros in 1976.",https://www.baseball-almanac.com/yearly/yr1904a.shtml,75
1904,12,"Two senior circuit hitters completed a cycle in 1904; Duff Cooley joined the ""club"" first, on June 20, 1904, completing the second cycle by a Boston Beaneater (Atlanta Braves), followed by Sam Mertes, on October 4, 1904, the third cycle by a New York Giant (San Francisco Giants).",https://www.baseball-almanac.com/yearly/yr1904n.shtml,73
1904,13,"The Giants dominated the season from beginning to end. In September, John McGraw was asked about a postseason series with the winner of the American League pennant and he replied, ""When we clinch the National League pennant, we'll be champions of the only real Major League.""",https://www.baseball-almanac.com/yearly/yr1904n.shtml,74
1904,14,"On September 15, 1904, Hooks Wiltse won his twelfth consecutive game of his rookie season. Did you know that Butch Metzger tied this record for games won at the start of his career in 1976?",https://www.baseball-almanac.com/yearly/yr1904n.shtml,75
1905,1,"A committee of Washington writers voted for ""Nationals"" as the new American League team nickname, but the ""Senators"" continued as the majority fan favorite.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,60
1905,2,"New York Highlanders first baseman Hal Chase set a Major League record on August 5th with thirty-eight putouts during a doubleheader sweep (3-1, 6-5) versus the visiting St. Louis Browns.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,61
1905,3,"On April 26th, Chicago Cubs outfielder Jack McCarthy tied a Major League record after starting three double plays to preserve a 2-1 victory over the Pittsburgh Pirates. Jackson Nelson had originally set the DP record in 1887.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,62
1905,4,"Brooklyn Dodgers shortstop Phil Lewis earned his paycheck and tied a National League record on July 20th, after having eighteen chances for seven assists, six putouts and five errors en route to a 2-1 win over the Cincinnati Reds.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,63
1905,5,Pittsburgh Pirates catcher Dave Brain became the first player in National League history to hit three triples in a single game — twice in one season (vs. St. Louis and vs. Boston).,https://www.baseball-almanac.com/yearly/yr1905n.shtml,64
1905,6,"Boston Braves first baseman Fred Tenney completed the season with a National League record one-hundred fifty-two assists. The mark stood until 1986, when Sid Bream of the Pittsburgh Pirates topped it with one-hundred sixty-six.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,65
1905,7,"New York Giants owner John T. Brush, who refused to play the American League pennant winners in 1904, proposed a new set of rules governing future World Series. Later known as the ""Brush Rules,"" these guidelines relating to the on-field play and off-field finances of the Series are still used to this day.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,66
1905,8,"The National League Board of Directors acquitted St. Louis Cardinal right-hander Jack Taylor on the charges of throwing games. Despite the verdict, Taylor was still fined $300 for using poor judgment and practicing bad conduct.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,67
1905,9,"On May 30th, both leagues posted record attendance figures for the Memorial Day holiday. Due to several doubleheaders, 80,963 attended eight American League games and 67,806 witnessed seven National League events.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,68
1905,10,"""Look (Johnny) Evers, if you and I talk to each other, we're only going to be fighting all the time so don't talk to me, and I won't talk to you. You play your position, and I'll play mine, and let it go at that."" - Joe Tinker",https://www.baseball-almanac.com/yearly/yr1905n.shtml,69
1905,11,← 1904 | 1905 Hitting Statistics League Leaders | 1906 →,https://www.baseball-almanac.com/yearly/yr1905n.shtml,70
1905,12,← 1904 | 1905 Pitching Statistics League Leaders | 1906 →,https://www.baseball-almanac.com/yearly/yr1905n.shtml,71
1905,13,Hitting Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1905n.shtml,73
1905,14,Pitching Statistics League Leaderboard,https://www.baseball-almanac.com/yearly/yr1905n.shtml,74
1905,15,"When the Brooklyn Superbas (45-103-3) took the field to play the Boston Beaneaters (50-100-2) on October 5, 1905, it was the first time in baseball history two teams with 100-or-more losses played each other!",https://www.baseball-almanac.com/yearly/yr1905n.shtml,75
1905,16,"Did you know that Mordecai Brown and Christy Mathewson each tossed eight innings of shutout baseball on June 13, 1905? ""Three Finger"" lost the duel in the ninth, surrendering one run, but ""Big Six"" took it the distance and recorded his second career no-hitter.",https://www.baseball-almanac.com/yearly/yr1905n.shtml,76
1905,10,"""A tremendous clutch-hurler, Chief Bender was usually Connie Mack's choice for the game he had to win."" - National Baseball Hall of Fame",https://www.baseball-almanac.com/yearly/yr1905a.shtml,69
